sigma_a,sigma_v,conflict_max,p_c,lambda,lognorm__vs__fusionOnlyLogNorm,lognorm__vs__switchingFree,lognorm__vs__probabilityMatchingLogNorm,lognorm__vs__selection,fusionOnlyLogNorm__vs__switchingFree,fusionOnlyLogNorm__vs__probabilityMatchingLogNorm,fusionOnlyLogNorm__vs__selection,switchingFree__vs__probabilityMatchingLogNorm,switchingFree__vs__selection,probabilityMatchingLogNorm__vs__selection,mean_pairwise
0.3,0.3,0.6,0.3,0.05,0.14610208333333333,0.0414140625,0.059048437499999995,0.1031046875,0.1542661458333333,0.08958697916666666,0.21005885416666667,0.07151388888888889,0.06900694444444444,0.13600833333333334,0.10801104166666667
0.3,0.3,0.6,0.5,0.05,0.10192378472222223,0.05322638888888889,0.039355729166666666,0.07859930555555555,0.1035467013888889,0.1327888888888889,0.1140890625,0.06438559027777778,0.043772569444444444,0.08916475694444444,0.08208527777777777
0.3,0.3,0.6,0.7,0.05,0.06262083333333333,0.06364010416666667,0.1110873263888889,0.08293038194444444,0.07229565972222224,0.17259322916666667,0.11387135416666666,0.14628020833333333,0.06621631944444445,0.10062743055555555,0.09921628472222223
0.45,0.45,0.083,0.3,0.05,0.027661419753086416,0.031927623456790115,0.013994907407407407,0.08028672839506173,0.0503587962962963,0.030848611111111108,0.09852438271604938,0.024207407407407403,0.051132870370370356,0.07224984567901234,0.04811925925925926
0.45,0.45,0.083,0.5,0.05,0.016601543209876536,0.040336882716049384,0.028268364197530867,0.0798,0.04856435185185186,0.03870077160493827,0.08829135802469135,0.020360493827160497,0.04151558641975308,0.055085339506172844,0.04575246913580247
0.45,0.45,0.083,0.7,0.05,0.012783950617283948,0.04628904320987654,0.04077669753086421,0.08171172839506172,0.04858780864197531,0.04787237654320988,0.08644413580246914,0.032575617283950614,0.04257700617283951,0.04771404320987654,0.048733240740740744
0.45,0.45,0.167,0.3,0.05,0.04193487654320987,0.031807407407407416,0.014015432098765433,0.07716404320987653,0.058888271604938265,0.04001141975308642,0.1007439814814815,0.027221604938271613,0.04834737654320987,0.07211496913580248,0.05122493827160494
0.45,0.45,0.167,0.5,0.05,0.02858796296296296,0.04120185185185186,0.03367808641975309,0.07586805555555556,0.051053703703703705,0.05604413580246913,0.08848780864197531,0.0333320987654321,0.03929891975308642,0.05425848765432099,0.05018111111111111
0.45,0.45,0.167,0.7,0.05,0.01612067901234568,0.04797499999999999,0.05743981481481482,0.08365570987654321,0.048197839506172846,0.06775493827160495,0.08803626543209878,0.06287006172839507,0.05059336419753087,0.0535371913580247,0.05761808641975309
0.45,0.45,0.25,0.3,0.05,0.06322777777777777,0.033077006172839506,0.015856790123456786,0.07893796296296296,0.07347546296296296,0.0563608024691358,0.11308518518518519,0.02698410493827161,0.0478841049382716,0.07262808641975309,0.05815172839506172
0.45,0.45,0.25,0.5,0.05,0.0400817901234568,0.04310478395061728,0.039131790123456786,0.07634012345679013,0.05396527777777777,0.07602932098765432,0.09204444444444446,0.04503996913580247,0.040331018518518516,0.05650154320987654,0.056257006172839505
0.45,0.45,0.25,0.7,0.05,0.022084567901234562,0.049681481481481486,0.07210910493827159,0.08392839506172839,0.048637654320987656,0.09072793209876544,0.09370987654320988,0.08868719135802469,0.06026635802469135,0.059753240740740746,0.06695858024691358
0.45,0.45,0.35,0.3,0.05,0.08482854938271606,0.03285416666666666,0.02010246913580247,0.08054475308641974,0.09548672839506173,0.07307669753086421,0.13235787037037036,0.031006944444444434,0.04918595679012346,0.0781287037037037,0.06775728395061728
0.45,0.45,0.35,0.5,0.05,0.05481558641975309,0.04447993827160494,0.04968441358024691,0.07775046296296297,0.06355324074074074,0.10255308641975308,0.10426543209876542,0.0566158950617284,0.043867129629629624,0.0578854938271605,0.06554706790123456
0.45,0.45,0.35,0.7,0.05,0.030564197530864205,0.05284521604938272,0.10058271604938271,0.08934691358024692,0.05102731481481482,0.12838487654320987,0.10502777777777779,0.1195445987654321,0.07182175925925927,0.06818888888888888,0.08173342592592593
